passages,query,question,query_type,reasoning,answer_passage,answer
"['The kitchen is south of the bedroom.', 'The kitchen is north of the office.']","Answer the question based on the context:
The kitchen is south of the bedroom.
The kitchen is north of the office.
Question: What is south of the bedroom? Only return the answer.
",What is south of the bedroom?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The kitchen is south of the bedroom.'],kitchen
"['Lily is a swan.', 'Greg is a frog.', 'Greg is yellow.', 'Julius is a frog.', 'Bernhard is a frog.', 'Lily is green.', 'Julius is gray.', 'Brian is a frog.', 'Bernhard is gray.']","Answer the question based on the context:
Lily is a swan.
Greg is a frog.
Greg is yellow.
Julius is a frog.
Bernhard is a frog.
Lily is green.
Julius is gray.
Brian is a frog.
Bernhard is gray.
Question: What color is Brian? Only return the answer.
",What color is Brian?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Bernhard is a frog.', 'Brian is a frog.', 'Bernhard is gray.']",gray
"['The container fits inside the box.', 'The container fits inside the box.', 'The chest is bigger than the chocolate.', 'The suitcase fits inside the chest.', 'The container fits inside the suitcase.']","Answer the question based on the context:
The container fits inside the box.
The container fits inside the box.
The chest is bigger than the chocolate.
The suitcase fits inside the chest.
The container fits inside the suitcase.
Question: Is the container bigger than the chest? Only return the answer.
",Is the container bigger than the chest?,size-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: size-reasoning.
","['The suitcase fits inside the chest.', 'The container fits inside the suitcase.']",no
"['Greg is a frog.', 'Bernhard is a lion.', 'Brian is a rhino.', 'Lily is a swan.', 'Bernhard is green.', 'Brian is white.', 'Lily is green.', 'Julius is a swan.', 'Greg is yellow.']","Answer the question based on the context:
Greg is a frog.
Bernhard is a lion.
Brian is a rhino.
Lily is a swan.
Bernhard is green.
Brian is white.
Lily is green.
Julius is a swan.
Greg is yellow.
Question: What color is Julius? Only return the answer.
",What color is Julius?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Lily is a swan.', 'Lily is green.', 'Julius is a swan.']",green
"['Julius is a lion.', 'Julius is green.', 'Greg is a frog.', 'Bernhard is a frog.', 'Greg is white.', 'Brian is a swan.', 'Brian is green.', 'Lily is a rhino.', 'Lily is white.']","Answer the question based on the context:
Julius is a lion.
Julius is green.
Greg is a frog.
Bernhard is a frog.
Greg is white.
Brian is a swan.
Brian is green.
Lily is a rhino.
Lily is white.
Question: What color is Bernhard? Only return the answer.
",What color is Bernhard?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Greg is a frog.', 'Bernhard is a frog.', 'Greg is white.']",white
"['The hallway is south of the bathroom.', 'The office is south of the hallway.']","Answer the question based on the context:
The hallway is south of the bathroom.
The office is south of the hallway.
Question: What is the bathroom north of? Only return the answer.
",What is the bathroom north of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The hallway is south of the bathroom.'],hallway
"['The kitchen is south of the bathroom.', 'The office is south of the kitchen.']","Answer the question based on the context:
The kitchen is south of the bathroom.
The office is south of the kitchen.
Question: What is the bathroom north of? Only return the answer.
",What is the bathroom north of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The kitchen is south of the bathroom.'],kitchen
"['Lily is a lion.', 'Bernhard is a swan.', 'Greg is a swan.', 'Julius is a frog.', 'Bernhard is white.', 'Julius is yellow.', 'Greg is white.', 'Brian is a frog.', 'Lily is white.']","Answer the question based on the context:
Lily is a lion.
Bernhard is a swan.
Greg is a swan.
Julius is a frog.
Bernhard is white.
Julius is yellow.
Greg is white.
Brian is a frog.
Lily is white.
Question: What color is Brian? Only return the answer.
",What color is Brian?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Julius is a frog.', 'Julius is yellow.', 'Brian is a frog.']",yellow
"['Sandra picked up the football there.', 'Sandra handed the football to John.']","Answer the question based on the context:
Sandra picked up the football there.
Sandra handed the football to John.
Question: How many objects is Sandra carrying? Only return the answer.
",How many objects is Sandra carrying?,counting,"The category of the question represents what is being asked in that question. The category of the question asked is: counting.
","['Sandra picked up the football there.', 'Sandra handed the football to John.']",none
"['Daniel went to the kitchen.', 'Daniel grabbed the football there.', 'Mary took the milk there.', 'Mary journeyed to the office.']","Answer the question based on the context:
Daniel went to the kitchen.
Daniel grabbed the football there.
Mary took the milk there.
Mary journeyed to the office.
Question: Where is the milk? Only return the answer.
",Where is the milk?,two-supporting-facts,"The category of the question represents what is being asked in that question. The category of the question asked is: two-supporting-facts.
","['Mary took the milk there.', 'Mary journeyed to the office.']",office
"['The kitchen is south of the bedroom.', 'The garden is north of the bedroom.']","Answer the question based on the context:
The kitchen is south of the bedroom.
The garden is north of the bedroom.
Question: What is the bedroom north of? Only return the answer.
",What is the bedroom north of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The kitchen is south of the bedroom.'],kitchen
"['The garden is west of the bathroom.', 'The kitchen is east of the bathroom.']","Answer the question based on the context:
The garden is west of the bathroom.
The kitchen is east of the bathroom.
Question: What is west of the bathroom? Only return the answer.
",What is west of the bathroom?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The garden is west of the bathroom.'],garden
"['The office is south of the bathroom.', 'The bedroom is north of the bathroom.']","Answer the question based on the context:
The office is south of the bathroom.
The bedroom is north of the bathroom.
Question: What is the bathroom south of? Only return the answer.
",What is the bathroom south of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The bedroom is north of the bathroom.'],bedroom
"['Daniel went to the office.', 'Daniel went back to the bathroom.', 'Mary travelled to the garden.', 'John went back to the garden.', 'John took the football there.', 'Mary grabbed the apple there.']","Answer the question based on the context:
Daniel went to the office.
Daniel went back to the bathroom.
Mary travelled to the garden.
John went back to the garden.
John took the football there.
Mary grabbed the apple there.
Question: What is Mary carrying? Only return the answer.
",What is Mary carrying?,lists-sets,"The category of the question represents what is being asked in that question. The category of the question asked is: lists-sets.
",['Mary grabbed the apple there.'],apple
"['Mary journeyed to the garden.', 'Sandra went back to the office.']","Answer the question based on the context:
Mary journeyed to the garden.
Sandra went back to the office.
Question: Where is Sandra? Only return the answer.
",Where is Sandra?,single-supporting-fact,"The category of the question represents what is being asked in that question. The category of the question asked is: single-supporting-fact.
",['Sandra went back to the office.'],office
