passages,query,question,query_type,reasoning,answer_passage,answer,messages
"['The kitchen is south of the bedroom.', 'The kitchen is north of the office.']","Answer the question based on the context:
The kitchen is south of the bedroom.
The kitchen is north of the office.
Question: What is south of the bedroom? Only return the answer.
",What is south of the bedroom?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The kitchen is south of the bedroom.'],kitchen,"[{'content': 'Answer the question based on the context:\nThe kitchen is south of the bedroom.\nThe kitchen is north of the office.\nQuestion: What is south of the bedroom? Only return the answer.\n', 'role': 'user'}, {'content': 'kitchen', 'role': 'assistant'}]"
"['Lily is a swan.', 'Greg is a frog.', 'Greg is yellow.', 'Julius is a frog.', 'Bernhard is a frog.', 'Lily is green.', 'Julius is gray.', 'Brian is a frog.', 'Bernhard is gray.']","Answer the question based on the context:
Lily is a swan.
Greg is a frog.
Greg is yellow.
Julius is a frog.
Bernhard is a frog.
Lily is green.
Julius is gray.
Brian is a frog.
Bernhard is gray.
Question: What color is Brian? Only return the answer.
",What color is Brian?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Bernhard is a frog.', 'Brian is a frog.', 'Bernhard is gray.']",gray,"[{'content': 'Answer the question based on the context:\nLily is a swan.\nGreg is a frog.\nGreg is yellow.\nJulius is a frog.\nBernhard is a frog.\nLily is green.\nJulius is gray.\nBrian is a frog.\nBernhard is gray.\nQuestion: What color is Brian? Only return the answer.\n', 'role': 'user'}, {'content': 'gray', 'role': 'assistant'}]"
"['The container fits inside the box.', 'The container fits inside the box.', 'The chest is bigger than the chocolate.', 'The suitcase fits inside the chest.', 'The container fits inside the suitcase.']","Answer the question based on the context:
The container fits inside the box.
The container fits inside the box.
The chest is bigger than the chocolate.
The suitcase fits inside the chest.
The container fits inside the suitcase.
Question: Is the container bigger than the chest? Only return the answer.
",Is the container bigger than the chest?,size-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: size-reasoning.
","['The suitcase fits inside the chest.', 'The container fits inside the suitcase.']",no,"[{'content': 'Answer the question based on the context:\nThe container fits inside the box.\nThe container fits inside the box.\nThe chest is bigger than the chocolate.\nThe suitcase fits inside the chest.\nThe container fits inside the suitcase.\nQuestion: Is the container bigger than the chest? Only return the answer.\n', 'role': 'user'}, {'content': 'no', 'role': 'assistant'}]"
"['Greg is a frog.', 'Bernhard is a lion.', 'Brian is a rhino.', 'Lily is a swan.', 'Bernhard is green.', 'Brian is white.', 'Lily is green.', 'Julius is a swan.', 'Greg is yellow.']","Answer the question based on the context:
Greg is a frog.
Bernhard is a lion.
Brian is a rhino.
Lily is a swan.
Bernhard is green.
Brian is white.
Lily is green.
Julius is a swan.
Greg is yellow.
Question: What color is Julius? Only return the answer.
",What color is Julius?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Lily is a swan.', 'Lily is green.', 'Julius is a swan.']",green,"[{'content': 'Answer the question based on the context:\nGreg is a frog.\nBernhard is a lion.\nBrian is a rhino.\nLily is a swan.\nBernhard is green.\nBrian is white.\nLily is green.\nJulius is a swan.\nGreg is yellow.\nQuestion: What color is Julius? Only return the answer.\n', 'role': 'user'}, {'content': 'green', 'role': 'assistant'}]"
"['Julius is a lion.', 'Julius is green.', 'Greg is a frog.', 'Bernhard is a frog.', 'Greg is white.', 'Brian is a swan.', 'Brian is green.', 'Lily is a rhino.', 'Lily is white.']","Answer the question based on the context:
Julius is a lion.
Julius is green.
Greg is a frog.
Bernhard is a frog.
Greg is white.
Brian is a swan.
Brian is green.
Lily is a rhino.
Lily is white.
Question: What color is Bernhard? Only return the answer.
",What color is Bernhard?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Greg is a frog.', 'Bernhard is a frog.', 'Greg is white.']",white,"[{'content': 'Answer the question based on the context:\nJulius is a lion.\nJulius is green.\nGreg is a frog.\nBernhard is a frog.\nGreg is white.\nBrian is a swan.\nBrian is green.\nLily is a rhino.\nLily is white.\nQuestion: What color is Bernhard? Only return the answer.\n', 'role': 'user'}, {'content': 'white', 'role': 'assistant'}]"
"['The hallway is south of the bathroom.', 'The office is south of the hallway.']","Answer the question based on the context:
The hallway is south of the bathroom.
The office is south of the hallway.
Question: What is the bathroom north of? Only return the answer.
",What is the bathroom north of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The hallway is south of the bathroom.'],hallway,"[{'content': 'Answer the question based on the context:\nThe hallway is south of the bathroom.\nThe office is south of the hallway.\nQuestion: What is the bathroom north of? Only return the answer.\n', 'role': 'user'}, {'content': 'hallway', 'role': 'assistant'}]"
"['The kitchen is south of the bathroom.', 'The office is south of the kitchen.']","Answer the question based on the context:
The kitchen is south of the bathroom.
The office is south of the kitchen.
Question: What is the bathroom north of? Only return the answer.
",What is the bathroom north of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The kitchen is south of the bathroom.'],kitchen,"[{'content': 'Answer the question based on the context:\nThe kitchen is south of the bathroom.\nThe office is south of the kitchen.\nQuestion: What is the bathroom north of? Only return the answer.\n', 'role': 'user'}, {'content': 'kitchen', 'role': 'assistant'}]"
"['Lily is a lion.', 'Bernhard is a swan.', 'Greg is a swan.', 'Julius is a frog.', 'Bernhard is white.', 'Julius is yellow.', 'Greg is white.', 'Brian is a frog.', 'Lily is white.']","Answer the question based on the context:
Lily is a lion.
Bernhard is a swan.
Greg is a swan.
Julius is a frog.
Bernhard is white.
Julius is yellow.
Greg is white.
Brian is a frog.
Lily is white.
Question: What color is Brian? Only return the answer.
",What color is Brian?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Julius is a frog.', 'Julius is yellow.', 'Brian is a frog.']",yellow,"[{'content': 'Answer the question based on the context:\nLily is a lion.\nBernhard is a swan.\nGreg is a swan.\nJulius is a frog.\nBernhard is white.\nJulius is yellow.\nGreg is white.\nBrian is a frog.\nLily is white.\nQuestion: What color is Brian? Only return the answer.\n', 'role': 'user'}, {'content': 'yellow', 'role': 'assistant'}]"
"['Sandra picked up the football there.', 'Sandra handed the football to John.']","Answer the question based on the context:
Sandra picked up the football there.
Sandra handed the football to John.
Question: How many objects is Sandra carrying? Only return the answer.
",How many objects is Sandra carrying?,counting,"The category of the question represents what is being asked in that question. The category of the question asked is: counting.
","['Sandra picked up the football there.', 'Sandra handed the football to John.']",none,"[{'content': 'Answer the question based on the context:\nSandra picked up the football there.\nSandra handed the football to John.\nQuestion: How many objects is Sandra carrying? Only return the answer.\n', 'role': 'user'}, {'content': 'none', 'role': 'assistant'}]"
"['Daniel went to the kitchen.', 'Daniel grabbed the football there.', 'Mary took the milk there.', 'Mary journeyed to the office.']","Answer the question based on the context:
Daniel went to the kitchen.
Daniel grabbed the football there.
Mary took the milk there.
Mary journeyed to the office.
Question: Where is the milk? Only return the answer.
",Where is the milk?,two-supporting-facts,"The category of the question represents what is being asked in that question. The category of the question asked is: two-supporting-facts.
","['Mary took the milk there.', 'Mary journeyed to the office.']",office,"[{'content': 'Answer the question based on the context:\nDaniel went to the kitchen.\nDaniel grabbed the football there.\nMary took the milk there.\nMary journeyed to the office.\nQuestion: Where is the milk? Only return the answer.\n', 'role': 'user'}, {'content': 'office', 'role': 'assistant'}]"
